class_method,endpoint,http_method,scope,auth_required,namespace,access_mode

# Overview
,/configuration/Overview.do,GET,W,t,config.overview,R

# Channels
,/configuration/GlobalConfigChannelList.do,GET,W,t,config.channels,R
,/configuration/ChannelOverview.do,GET,W,t,config.channels,R
,/configuration/ChannelFiles.do,GET,W,t,config.channels,R
,/configuration/ChannelFilesSubmit.do,POST,W,t,config.channels,R
,/configuration/channel/Copy2Systems.do,GET,W,t,config.channels,W
,/configuration/channel/Copy2Systems.do,POST,W,t,config.channels,W
,/configuration/channel/Copy2Channels.do,GET,W,t,config.channels,W
,/configuration/channel/Copy2Channels.do,POST,W,t,config.channels,W

,/configuration/ChannelUploadFiles.do,GET,W,t,config.channels,W
,/configuration/ChannelUploadFiles.do,POST,W,t,config.channels,W
,/configuration/ChannelImportFiles.do,GET,W,t,config.channels,W
,/configuration/ChannelImportFilesSubmit.do,POST,W,t,config.channels,W
,/configuration/ChannelCreateFiles.do,GET,W,t,config.channels,W
,/configuration/ChannelCreateFiles.do,POST,W,t,config.channels,W

# Deploy files
,/configuration/channel/ChooseFiles.do,GET,W,t,config.channels,W
,/configuration/channel/ChooseFilesSubmit.do,POST,W,t,config.channels,W
,/configuration/channel/ChooseSystems.do,GET,W,t,config.channels,W
,/configuration/channel/ChooseSystemsSubmit.do,POST,W,t,config.channels,W
,/configuration/channel/DeployConfirm.do,GET,W,t,config.channels,W
,/configuration/channel/DeployConfirm.do,POST,W,t,config.channels,W

,/configuration/channel/ChannelSystems.do,GET,W,t,config.channels,R
,/configuration/channel/ChannelSystemsSubmit.do,POST,W,t,config.channels,R
,/configuration/channel/TargetSystems.do,GET,W,t,config.channels,R
,/configuration/channel/TargetSystemsSubmit.do,POST,W,t,config.channels,R

,/configuration/ChannelCreate.do,GET,W,t,config.channels,W
,/configuration/ChannelCreate.do,POST,W,t,config.channels,W

,/configuration/DeleteChannel.do,GET,W,t,config.channels,W
,/configuration/DeleteChannel.do,POST,W,t,config.channels,W

# Files
,/configuration/file/GlobalConfigFileList.do,GET,W,t,config.files,R
,/configuration/file/GlobalConfigFileList.do,POST,W,t,config.files,R
,/configuration/file/FileDetails.do,GET,W,t,config.files,R
,/configuration/file/FileDetails.do,POST,W,t,config.files,W
,/configuration/file/FileDownload.do,GET,W,t,config.files,R

,/configuration/file/ManageRevision.do,GET,W,t,config.files,R
,/configuration/file/ManageRevisionSubmit.do,POST,W,t,config.files,R

,/configuration/file/DeleteFile.do,GET,W,t,config.files,W
,/configuration/file/DeleteFile.do,POST,W,t,config.files,W
,/configuration/file/DeleteRevision.do,GET,W,t,config.files,W
,/configuration/file/DeleteRevision.do,POST,W,t,config.files,W

,/configuration/file/CopyFileCentral.do,GET,W,t,config.files,W
,/configuration/file/CopyFileCentralSubmit.do,POST,W,t,config.files,W
,/configuration/file/CopyFileLocal.do,GET,W,t,config.files,W
,/configuration/file/CopyFileSandbox.do,GET,W,t,config.files,W

,/configuration/file/RevisionDeploy.do,GET,W,t,config.files,W
,/configuration/file/GlobalRevisionDeploy.do,GET,W,t,config.files,W
,/configuration/file/GlobalRevisionDeploySubmit.do,POST,W,t,config.files,W
,/configuration/file/GlobalRevisionDeployConfirm.do,GET,W,t,config.files,W
,/configuration/file/GlobalRevisionDeployConfirmSubmit.do,POST,W,t,config.files,W

,/configuration/file/CompareRevision.do,GET,W,t,config.files,R
,/configuration/file/CompareCopy.do,GET,W,t,config.files,R
,/configuration/file/CompareChannel.do,GET,W,t,config.files,R
,/configuration/file/CompareFile.do,GET,W,t,config.files,R
,/configuration/file/CompareDeployed.do,GET,W,t,config.files,R
,/configuration/file/CompareDeployedSubmit.do,POST,W,t,config.files,R
,/configuration/file/Diff.do,GET,W,t,config.files,R
,/configuration/file/DownloadDiff.do,GET,W,t,config.files,R

,/configuration/file/LocalConfigFileList.do,GET,W,t,config.files,R
,/configuration/file/LocalConfigFileList.do,POST,W,t,config.files,R

# Systems
,/configuration/system/ManagedSystems.do,GET,W,t,config.systems,R
,/configuration/system/ManagedSystems.do,POST,W,t,config.systems,R
,/configuration/system/TargetSystems.do,GET,W,t,config.systems,R
,/configuration/system/TargetSystems.do,POST,W,t,config.systems,R
