class_method,endpoint,http_method,scope,auth_required,namespace,access_mode

# Image list

,/manager/cm/images,GET,W,t,cm.image.list,R
,/manager/api/cm/images,GET,W,t,cm.image.list,R
,/manager/api/cm/images/delete,POST,W,t,cm.image.list,W

# Image details

,/manager/api/cm/build/:id,POST,W,t,cm.image.overview,W
,/manager/api/cm/images/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/patches/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/packages/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/buildlog/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/inspect/:id,POST,W,t,cm.image.overview,W
,/manager/api/cm/images/delete,POST,W,t,cm.image.overview,W
,/manager/api/cm/images/patches/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/packages/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/buildlog/:id,GET,W,t,cm.image.overview,R
,/manager/api/cm/images/inspect/:id,POST,W,t,cm.image.overview,W
,/manager/api/cm/images/delete,POST,W,t,cm.image.overview,W

# Image import

,/manager/cm/import,GET,W,t,cm.image.import,W
,/manager/api/cm/images/import,POST,W,t,cm.image.import,W
,/manager/upload/image,POST,W,t,cm.image.import,W
,/manager/api/cm/imagestores/type/:type,GET,W,t,cm.image.import,W
,/manager/api/cm/build/hosts/:type,GET,W,t,cm.image.import,W
,/manager/api/cm/activationkeys,GET,W,t,cm.image.import,W

# Image profile list

,/manager/cm/imageprofiles,GET,W,t,cm.profile.list,R
,/manager/api/cm/imageprofiles,GET,W,t,cm.profile.list,R
,/manager/api/cm/imageprofiles/delete,POST,W,t,cm.profile.list,W

# Image profile details

,/manager/cm/imageprofiles/create,GET,W,t,cm.profile.details,W
,/manager/cm/imageprofiles/edit/:id,GET,W,t,cm.profile.details,R
,/manager/api/cm/imageprofiles/:id,GET,W,t,cm.profile.details,R
,/manager/api/cm/imageprofiles/find/:label,GET,W,t,cm.profile.details,W
,/manager/api/cm/imageprofiles/channels/:token,GET,W,t,cm.profile.details,R
,/manager/api/cm/imageprofiles/create,POST,W,t,cm.profile.details,W
,/manager/api/cm/imageprofiles/update/:id,POST,W,t,cm.profile.details,W
,/manager/api/cm/imagestores/type/:type,GET,W,t,cm.profile.details,R
,/manager/api/cm/imagestores/find/:label,GET,W,t,cm.profile.details,W

# Image store list

,/manager/cm/imagestores,GET,W,t,cm.store.list,R
,/manager/api/cm/imagestores,GET,W,t,cm.store.list,R
,/manager/api/cm/imagestores/delete,POST,W,t,cm.store.list,W

# Image store details

,/manager/cm/imagestores/create,GET,W,t,cm.store.details,W
,/manager/api/cm/imagestores/create,POST,W,t,cm.store.details,W
,/manager/cm/imagestores/edit/:id,GET,W,t,cm.store.details,R
,/manager/api/cm/imagestores/:id,GET,W,t,cm.store.details,R
,/manager/api/cm/imagestores/find/:label,GET,W,t,cm.store.details,W
,/manager/api/cm/imagestores/update/:id,POST,W,t,cm.store.details,W

# Image build

,/manager/api/cm/imageprofiles,GET,W,t,cm.build,W
,/manager/api/cm/imageprofiles/:id,GET,W,t,cm.build,W
,/manager/cm/build,GET,W,t,cm.build,W
,/manager/api/cm/build/hosts/:type,GET,W,t,cm.build,W
,/manager/api/cm/build/:id,POST,W,t,cm.build,W
