class_method,endpoint,http_method,scope,auth_required,namespace,access_mode
,/schedule/PendingActions.do,GET,W,t,schedule.pending,R
,/schedule/PendingActions.do,POST,W,t,schedule.pending,R
,/schedule/PendingActionsDeleteConfirm.do,GET,W,t,schedule.pending,W
,/schedule/PendingActionsDeleteConfirm.do,POST,W,t,schedule.pending,W

,/schedule/FailedActions.do,GET,W,t,schedule.failed,R
,/schedule/FailedActions.do,POST,W,t,schedule.failed,R

,/schedule/CompletedActions.do,GET,W,t,schedule.completed,R
,/schedule/CompletedActions.do,POST,W,t,schedule.completed,R

,/schedule/ArchivedActions.do,GET,W,t,schedule.archived,R
,/schedule/ArchivedActions.do,POST,W,t,schedule.archived,R

,/schedule/ActionDetails.do,GET,W,t,schedule.details,R
,/schedule/CompletedSystems.do,GET,W,t,schedule.details,R
,/schedule/CompletedSystems.do,POST,W,t,schedule.details,R
,/schedule/InProgressSystems.do,GET,W,t,schedule.details,R
,/schedule/InProgressSystemsSubmit.do,POST,W,t,schedule.details,R
,/schedule/FailedSystems.do,GET,W,t,schedule.details,R
,/schedule/FailedSystems.do,POST,W,t,schedule.details,R

# Action Chains
,/schedule/ActionChains.do,GET,W,t,schedule.action_chains,R
,/schedule/ActionChains.do,POST,W,t,schedule.action_chains,R

,/schedule/ActionChain.do,GET,W,t,schedule.action_chains,R
,/ajax/action-chain-entries,POST,W,t,schedule.action_chains,R
,/schedule/ActionChain.do,POST,W,t,schedule.action_chains,W
,/ajax/action-chain-save,POST,W,t,schedule.action_chains,W

# Recurring Actions
,/manager/schedule/recurring-actions,GET,W,t,schedule.recurring,R
,/manager/api/recurringactions,GET,W,t,schedule.recurring,R
,/manager/api/recurringactions/:id/details,GET,W,t,schedule.recurring,R

# Maintenance Windows
,/manager/schedule/maintenance/schedules,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/schedule/list,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/calendar/names,GET,W,t,schedule.maintenance_windows,R

,/manager/api/maintenance/schedule/:id/details,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/schedule/:id/systems,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/schedule/:id/setsystems,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/schedule/systems,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/schedule/:id/setsystems,POST,W,t,schedule.maintenance_windows,W
,/manager/api/maintenance/schedule/save,POST,W,t,schedule.maintenance_windows,W
,/manager/api/maintenance/schedule/delete,DELETE,W,t,schedule.maintenance_windows,W

,/manager/schedule/maintenance/calendars,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/calendar/list,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/calendar/:id/details,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/events/:operation/:type/:startOfWeek/:date/:id,GET,W,t,schedule.maintenance_windows,R
,/manager/api/maintenance/calendar/save,POST,W,t,schedule.maintenance_windows,W
,/manager/api/maintenance/calendar/delete,DELETE,W,t,schedule.maintenance_windows,W
