class_method,endpoint,http_method,scope,auth_required,namespace,access_mode

# TODO: Download CSV

# Channel List

,/software/channels/All.do,GET,W,t,software.list,R
,/software/channels/All.do,POST,W,t,software.list,R
,/software/channels/Vendor.do,GET,W,t,software.list,R
,/software/channels/Vendor.do,POST,W,t,software.list,R
,/software/channels/Popular.do,GET,W,t,software.list,R
,/software/channels/Popular.do,POST,W,t,software.list,R
,/software/channels/Custom.do,GET,W,t,software.list,R
,/software/channels/Custom.do,POST,W,t,software.list,R
,/software/channels/Shared.do,GET,W,t,software.list,R
,/software/channels/Shared.do,POST,W,t,software.list,R
,/software/channels/Retired.do,GET,W,t,software.list,R
,/software/channels/Retired.do,POST,W,t,software.list,R

,/channels/ChannelDetail.do,GET,W,t,software.details.overview,R
,/channels/ChannelDetail.do,POST,W,t,software.details.overview,W

,/channels/Managers.do,GET,W,t,software.details.managers,R
,/channels/Managers.do,POST,W,t,software.details.managers,R
,/channels/ChannelErrata.do,GET,W,t,software.details.patches,R
,/channels/ChannelErrata.do,POST,W,t,software.details.patches,R
,/channels/ChannelPackages.do,GET,W,t,software.details.packages,R
,/channels/ChannelPackages.do,POST,W,t,software.details.packages,R
,/channels/ChannelSubscribers.do,GET,W,t,software.details.systems,R
,/channels/ChannelSubscribers.do,POST,W,t,software.details.systems,R
,/channels/TargetSystems.do,GET,W,t,software.details.systems,R
,/channels/TargetSystems.do,POST,W,t,software.details.systems,R
,/channels/ConfirmTargetSystems.do,GET,W,t,software.details.systems,W
,/channels/ConfirmTargetSystems.do,POST,W,t,software.details.systems,W
,/channels/AppStreams.do,GET,W,t,software.details.appstreams,R
,/channels/AppStreams.do,POST,W,t,software.details.appstreams,R

# Package Search

,/channels/software/Search.do,GET,W,t,software.search,R
,/channels/software/Search.do,POST,W,t,software.search,R

# Manage

,/channels/manage/Manage.do,GET,W,t,software.manage.list,W
,/channels/manage/Manage.do,POST,W,t,software.manage.list,W
,/channels/manage/Edit.do,GET,W,t,software.manage.details,W
,/channels/manage/Edit.do,POST,W,t,software.manage.details,W
,/channels/manage/Delete.do,GET,W,t,software.manage.delete,W
,/channels/manage/Delete.do,POST,W,t,software.manage.delete,W
