class_method,endpoint,http_method,scope,auth_required,namespace,access_mode
,/ssm/index.do,GET,W,f,systems.ssm,R
,/systems/ssm/ListSystems.do,GET,W,t,systems.list,R
,/systems/ssm/ListSystems.do,POST,W,t,systems.list,R
,/systems/ssm/ListErrata.do,GET,W,t,systems.software.patches,R
,/systems/ssm/ListErrata.do,POST,W,t,systems.software.patches,R
,/ssm/Packages.do,GET,W,t,systems.software.packages,R
,/ssm/PackageUpgrade.do,GET,W,t,systems.software.packages,W
,/ssm/PackageUpgrade.do,POST,W,t,systems.software.packages,W
,/ssm/PackageInstall.do,GET,W,t,systems.software.packages,W
,/ssm/PackageInstall.do,POST,W,t,systems.software.packages,W
,/ssm/PackageList.do,GET,W,t,systems.software.packages,W
,/ssm/PackageList.do,POST,W,t,systems.software.packages,W
,/ssm/PackageSchedule.do,GET,W,t,systems.software.packages,W
,/ssm/PackageSchedule.do,POST,W,t,systems.software.packages,W
,/ssm/PackageRemove.do,GET,W,t,systems.software.packages,W
,/ssm/PackageRemove.do,POST,W,t,systems.software.packages,W
,/ssm/PackageRemoveSchedule.do,GET,W,t,systems.software.packages,W
,/ssm/PackageRemoveSchedule.do,POST,W,t,systems.software.packages,W
,/systems/ssm/groups/Manage.do,GET,W,t,systems.groups.list,R
,/systems/ssm/groups/Manage.do,POST,W,t,systems.groups.list,R
,/systems/ssm/groups/Confirm.do,GET,W,t,systems.groups.target_systems,W
,/systems/ssm/groups/Confirm.do,POST,W,t,systems.groups.target_systems,W
,/systems/ssm/groups/Create.do,GET,W,t,systems.groups.details,W
,/systems/ssm/groups/Create.do,POST,W,t,systems.groups.details,W
,/channel/ssm/ChannelSubscriptions.do,GET,W,t,systems.software.channels,W
,/manager/systems/ssm/channels/bases,GET,W,t,systems.software.channels,W
,/manager/systems/ssm/channels/allowed-changes,POST,W,t,systems.software.channels,W
,/manager/systems/ssm/channels,POST,W,t,systems.software.channels,W
,/manager/api/maintenance/upcoming-windows,POST,W,t,systems.software.channels,W
,/systems/ssm/config/Deploy.do,GET,W,t,systems.config.files,W
,/systems/ssm/config/DeploySubmit.do,POST,W,t,systems.config.files,W
,/systems/ssm/config/DeployConfirm.do,GET,W,t,systems.config.files,W
,/systems/ssm/config/DeployConfirmSubmit.do,POST,W,t,systems.config.files,W
,/systems/ssm/config/Diff.do,GET,W,t,systems.config.files,W
,/systems/ssm/config/DiffSubmit.do,POST,W,t,systems.config.files,W
,/systems/ssm/config/DiffConfirm.do,GET,W,t,systems.config.files,W
,/systems/ssm/config/DiffConfirmSubmit.do,POST,W,t,systems.config.files,W
,/systems/ssm/config/Subscribe.do,GET,W,t,systems.config.channels,W
,/systems/ssm/config/SubscribeSubmit.do,POST,W,t,systems.config.channels,W
,/systems/ssm/config/Rank.do,GET,W,t,systems.config.channels,W
,/systems/ssm/config/SubscribeConfirm.do,GET,W,t,systems.config.channels,W
,/systems/ssm/config/SubscribeConfirm.do,POST,W,t,systems.config.channels,W
,/systems/ssm/config/Unsubscribe.do,GET,W,t,systems.config.channels,W
,/systems/ssm/config/UnsubscribeSubmit.do,POST,W,t,systems.config.channels,W
,/systems/ssm/config/UnsubscribeConfirm.do,GET,W,t,systems.config.channels,W
,/systems/ssm/config/UnsubscribeConfirmSubmit.do,POST,W,t,systems.config.channels,W
,/systems/ssm/config/Enable.do,GET,W,t,systems.config.channels,W
,/systems/ssm/kickstart/KickstartableSystems.do,GET,W,t,systems.autoinstallation,W
,/systems/ssm/kickstart/KickstartableSystems.do,POST,W,t,systems.autoinstallation,W
,/systems/ssm/kickstart/ScheduleByProfile.do,GET,W,t,systems.autoinstallation,W
,/systems/ssm/kickstart/ScheduleByProfile.do,POST,W,t,systems.autoinstallation,W
,/systems/ssm/kickstart/ScheduleByIp.do,GET,W,t,systems.autoinstallation,W
,/systems/ssm/kickstart/ScheduleByIp.do,POST,W,t,systems.autoinstallation,W
,/systems/ssm/provisioning/PowerManagementConfiguration.do,GET,W,t,systems.autoinstallation,W
,/systems/ssm/provisioning/PowerManagementConfiguration.do,POST,W,t,systems.autoinstallation,W
,/systems/ssm/provisioning/PowerManagementOperations.do,GET,W,t,systems.autoinstallation,W
,/systems/ssm/provisioning/PowerManagementOperations.do,POST,W,t,systems.autoinstallation,W
,/systems/ssm/audit/ScheduleXccdf.do,GET,W,t,systems.audit.openscap,W
,/systems/ssm/audit/ScheduleXccdf.do,POST,W,t,systems.audit.openscap,W
,/systems/ssm/audit/ScheduleXccdfConfirm.do,POST,W,t,systems.audit.openscap,W
,/manager/systems/ssm/coco/settings,GET,W,t,systems.audit.coco,W
,/manager/api/systems/coco/settings,POST,W,t,systems.audit.coco,W
,/manager/systems/ssm/coco/schedule,GET,W,t,systems.audit.coco,W
,/manager/api/systems/coco/scheduleAction,POST,W,t,systems.audit.coco,W
,/manager/systems/ssm/highstate,GET,W,t,systems.states.highstate,R
,/systems/ssm/misc/Index.do,GET,W,f,systems.details.overview,W
,/systems/ssm/misc/Index.do,POST,W,t,systems.details.overview,W
,/systems/ssm/misc/ConfirmSystemPreferences.do,POST,W,t,systems.details.overview,W
,/systems/ssm/misc/HardwareRefresh.do,GET,W,t,systems.details.hardware,W
,/systems/ssm/misc/HardwareRefresh.do,POST,W,t,systems.details.hardware,W
